State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-04-10_08:00:00,2022-04-10_09:00:00,F32,11,27478,27930,266,151,12,12,124,70,5,78
Running,2022-04-10_09:00:00,2022-04-10_10:00:00,F32,11,27479,27953,246,158,12,2,150,66,9,77
Running,2022-04-10_10:00:00,2022-04-10_11:00:00,F32,11,27594,27947,252,106,6,6,110,37,6,82
Running,2022-04-10_11:00:00,2022-04-10_12:00:00,F32,11,27585,27951,253,88,5,7,113,65,7,81
Running,2022-04-10_12:00:00,2022-04-10_13:00:00,F32,11,27602,27955,245,114,8,4,92,52,7,76
Running,2022-04-10_13:00:00,2022-04-10_14:00:00,F32,11,27532,27918,280,103,11,4,112,73,4,79
Running,2022-04-10_14:00:00,2022-04-10_15:00:00,F32,11,27607,27950,250,89,14,5,109,55,3,68
Running,2022-04-10_15:00:00,2022-04-10_16:00:00,F32,11,27575,27938,262,83,10,3,103,75,6,83
Running,2022-04-10_16:00:00,2022-04-10_17:00:00,F32,11,27567,27932,273,86,13,5,129,55,5,72
Running,2022-04-10_17:00:00,2022-04-10_18:00:00,F32,11,27542,27956,244,87,11,6,128,90,9,83
